%% LaTeX2e file `graph.csv'
%% generated by the `filecontents' environment
%% from source `main' on 2020/05/03.
%%
year,processor,memory
1980,2.76,1.2
1981,3.45,1.284
1982,4.3125,1.37388
1983,5.390625,1.4700516
1984,6.73828125,1.572955212
1985,8.422851563,1.683062077
1986,10.52856445,1.800876422
1987,16.00341797,1.926937772
1988,24.32519531,2.061823416
1989,36.97429688,2.206151055
1990,56.20093125,2.360581629
1991,85.4254155,2.525822343
1992,129.8466316,2.702629907
1993,197.36688,2.891814
1994,299.9976576,3.09424098
1995,455.9964395,3.310837849
1996,693.114588,3.542596498
1997,1053.534174,3.790578253
1998,1601.371944,4.055918731
1999,2434.085355,4.339833042
2000,3699.80974,4.643621355
2001,4439.771688,4.96867485
2002,5327.726025,5.316482089
2003,6393.27123,5.688635836
2004,7671.925476,6.086840344
2005,9206.310572,6.512919168
2006,9206.310572,6.96882351
2007,9206.310572,7.456641156
2008,9206.310572,7.978606037
2009,9206.310572,8.537108459
2010,9206.310572,9.134706051
